account_age_days,transaction_amount,hour,weekday,month,is_high_value,transaction_amount_log,channel_Atm,channel_Mobile,channel_Pos,channel_Web,kyc_verified_No,kyc_verified_Yes,is_fraud
1862,6714,18,1,8,0,8.812099108957337,False,True,False,False,1,0,0
1827,4573,7,6,8,0,8.428143374582726,False,False,True,False,0,1,0
2676,6422,9,0,8,0,8.767640577257792,False,True,False,False,0,1,0
2361,2431,5,3,8,0,7.796469243086058,False,False,True,False,0,1,0
658,11979,22,4,8,0,9.39099387166944,False,False,True,False,0,1,0
190,12140,16,3,8,0,9.404343433543975,False,True,False,False,0,1,0
1728,18277,14,1,8,0,9.813453429832148,False,True,False,False,0,1,0
2359,5750,2,5,8,0,8.657129031713755,False,False,False,True,0,1,0
2404,5338,23,0,8,0,8.582793648500186,False,False,True,False,0,1,0
2193,6506,18,0,8,0,8.780633799494984,False,True,False,False,1,0,0
480,255986,21,6,8,1,12.452881940922289,False,False,True,False,0,1,1
2397,7322,0,0,8,0,8.89877535906107,False,False,False,True,1,0,0
2049,5750,7,4,8,0,8.657129031713755,False,False,False,True,0,1,0
1188,7003,12,4,8,0,8.854236693405742,True,False,False,False,0,1,0
2990,11981,20,1,8,0,9.39116080264387,False,True,False,False,0,1,0
1052,11757,20,6,8,0,9.3722891389622,False,False,False,True,1,0,1
1578,33180,19,5,8,0,10.409732701928009,False,False,False,True,0,1,0
2103,6145,8,2,8,0,8.72355674269043,False,True,False,False,0,1,0
84,6953,8,6,8,0,8.847072312567807,False,False,True,False,0,1,0
2439,8768,11,5,8,0,9.078978053779355,False,False,False,True,0,1,0
1924,17663,23,6,8,0,9.779283949076822,False,False,False,True,0,1,1
1094,8202,4,6,8,0,9.01225522000275,False,True,False,False,0,1,0
2423,223715,5,5,8,1,12.318132669283461,False,False,False,True,0,1,0
910,56025,23,6,8,1,10.933571147684308,False,False,True,False,0,1,0
1355,3130,23,0,8,0,8.049107721326406,False,False,True,False,1,0,0
909,75801,6,2,8,1,11.235879956506654,False,False,False,True,0,1,0
1228,6405,20,1,8,0,8.764990330169104,False,True,False,False,1,0,0
525,17886,5,5,8,0,9.791829470993246,False,True,False,False,1,0,0
700,57195,16,3,8,1,10.954239244852738,False,True,False,False,0,1,1
2663,41802,11,1,8,0,10.640723386272409,False,True,False,False,0,1,0
273,260260,4,5,8,1,12.469440252634902,False,False,False,True,0,1,0
1505,253809,15,1,8,1,12.444341234589452,False,False,False,True,0,1,1
1478,32395,17,4,8,0,10.38579023736888,False,True,False,False,0,1,0
2036,4162,20,5,8,0,8.333991247194975,False,True,False,False,0,1,1
2420,5845,8,5,8,0,8.673512945671192,False,False,True,False,0,1,0
797,8180,15,1,8,0,9.009569671513699,False,False,False,True,1,0,0
1559,6872,19,5,8,0,8.835355971121606,False,False,False,True,0,1,0
1249,8722,3,4,8,0,9.07371849443322,False,False,False,True,0,1,0
1965,50224,22,5,8,1,10.824268189683135,False,True,False,False,0,1,0
1851,297623,4,6,8,1,12.603586223850717,False,False,False,True,0,1,1
1890,280146,23,6,8,1,12.543069744387102,False,True,False,False,0,1,0
1071,12780,15,5,8,0,9.455714972131714,False,True,False,False,0,1,0
2206,5637,14,5,8,0,8.637284671674058,False,True,False,False,0,1,0
387,7637,0,3,8,0,8.940891067785461,False,False,False,True,0,1,0
1563,16285,13,3,8,0,9.698061122027077,False,True,False,False,0,1,0
932,2516,12,4,8,0,7.830822995135316,True,False,False,False,0,1,0
1062,7502,17,4,8,0,8.923058219545728,False,False,False,True,1,0,1
2429,9889,22,5,8,0,9.199279424616758,False,False,False,True,0,1,0
893,8423,9,6,8,0,9.03884005381381,False,False,True,False,0,1,0
774,7260,16,4,8,0,8.890272839380247,False,True,False,False,0,1,0
2358,2462,18,5,8,0,7.809135398120538,False,False,True,False,0,1,0
715,4477,9,5,8,0,8.4069317971587,False,True,False,False,0,1,0
2797,62450,20,6,8,1,11.042137528235768,False,False,True,False,0,1,0
179,115157,4,6,8,1,11.654060377433932,False,True,False,False,0,1,0
1481,7384,15,6,8,0,8.90720619496548,False,False,True,False,0,1,0
2224,14059,15,6,8,0,9.551089165364656,True,False,False,False,1,0,0
774,2145,13,4,8,0,7.671360923190644,True,False,False,False,0,1,0
1214,8055,10,0,8,0,8.994172434398399,False,False,False,True,0,1,0
312,1684,3,0,8,0,7.429520842786462,False,True,False,False,0,1,0
597,3068,3,2,8,0,8.029107054619736,False,True,False,False,0,1,0
136,8617,20,4,8,0,9.061608318175784,False,False,True,False,0,1,0
1697,4159,2,5,8,0,8.333270353255308,False,False,False,True,0,1,0
2021,10923,4,5,8,0,9.298717482593595,False,False,False,True,1,0,0
2567,256664,22,1,8,1,12.45552701163418,False,True,False,False,0,1,0
963,26790,22,0,8,0,10.19582128920296,False,False,False,True,0,1,0
899,56136,7,1,8,1,10.935550410654034,False,True,False,False,0,1,0
2154,15829,6,5,8,0,9.669662152875057,False,False,False,True,0,1,0
1907,239251,10,3,8,1,12.385272668736896,False,False,False,True,0,1,0
1808,290905,6,0,8,1,12.580755469915138,False,False,False,True,0,1,1
558,3495,12,3,8,0,8.159374736775426,False,True,False,False,0,1,0
2439,211389,5,4,8,1,12.26146004760973,False,False,False,True,0,1,0
1448,38339,1,5,8,0,10.554249016599636,True,False,False,False,0,1,0
2851,5421,15,5,8,0,8.598220030058611,False,False,False,True,0,1,0
1408,292649,19,4,8,1,12.586732634719366,False,False,False,True,1,0,0
2039,4207,13,3,8,0,8.344742754417545,False,False,True,False,0,1,0
2391,127400,13,3,8,1,11.755094871382958,False,False,False,True,0,1,0
1987,9622,10,5,8,0,9.171911345356401,False,True,False,False,0,1,0
2008,4133,18,5,8,0,8.327000740241713,False,True,False,False,0,1,0
2581,103663,18,3,8,1,11.548910178689738,False,True,False,False,0,1,0
2380,178497,5,0,8,1,12.092332675657268,False,False,False,True,0,1,1
952,12677,7,6,8,0,9.447623486844112,False,False,False,True,0,1,0
2000,8256,18,6,8,0,9.01881660441743,False,False,True,False,1,0,0
1083,12023,19,3,8,0,9.39465993143281,False,True,False,False,0,1,0
1886,8337,7,0,8,0,9.028578658440741,False,True,False,False,1,0,0
948,24792,17,4,8,0,10.118316634246252,False,False,True,False,0,1,0
1079,4423,5,4,8,0,8.39479954320217,False,False,True,False,0,1,0
1716,15664,21,6,8,0,9.659184203386292,False,True,False,False,0,1,0
1646,5524,0,5,8,0,8.617038526385954,False,True,False,False,0,1,0
695,7495,16,6,8,0,8.922124823918258,False,False,False,True,0,1,0
394,5589,15,4,8,0,8.628734566149145,True,False,False,False,0,1,0
2065,11225,9,4,8,0,9.325987795502144,False,True,False,False,0,1,0
1157,18790,6,6,8,0,9.841133310789152,False,True,False,False,0,1,0
2521,18275,3,3,8,0,9.813344002683163,False,False,False,True,0,1,0
1901,3893,6,0,8,0,8.267192185932146,False,True,False,False,0,1,0
1536,6483,23,4,8,0,8.777092882855566,False,False,False,True,0,1,0
1441,8752,2,6,8,0,9.077151777732437,False,False,False,True,0,1,0
1767,134043,20,6,8,1,11.805923383244245,False,True,False,False,0,1,0
2459,228122,19,5,8,1,12.337640236157174,False,False,False,True,0,1,1
2955,288735,17,0,8,1,12.573268054794227,True,False,False,False,1,0,0
2898,99459,13,1,8,1,11.50751083226873,False,True,False,False,0,1,1
1332,7437,5,3,8,0,8.914357274485015,False,True,False,False,0,1,0
364,12385,13,0,8,0,9.424322081498007,False,True,False,False,0,1,0
352,147016,0,4,8,1,11.898303505332864,False,False,False,True,0,1,0
2045,5595,8,5,8,0,8.629807335785372,False,True,False,False,1,0,1
2905,7776,18,0,8,0,8.958925938694943,False,False,True,False,1,0,0
276,2518,9,1,8,0,7.831617276352611,False,False,False,True,1,0,0
1681,1710,5,4,8,0,7.444833273892193,False,False,True,False,1,0,0
1397,1783,8,0,8,0,7.486613313139955,False,True,False,False,1,0,0
2026,17492,6,6,8,0,9.769556079890267,False,True,False,False,0,1,0
520,71155,1,5,8,1,11.17262992884516,False,True,False,False,0,1,0
1568,9052,3,4,8,0,9.11085147347544,False,True,False,False,0,1,0
2273,7133,21,5,8,0,8.872627365918836,False,False,True,False,0,1,0
260,6935,20,0,8,0,8.844480518460378,False,True,False,False,0,1,0
356,191220,17,5,8,1,12.16118510620426,False,True,False,False,0,1,0
54,8692,9,5,8,0,9.070273383079064,True,False,False,False,0,1,0
2581,142263,0,6,8,1,11.865439765423497,False,True,False,False,1,0,0
1402,8534,6,4,8,0,9.05193063522854,False,False,False,True,0,1,0
677,8263,14,0,8,0,9.019664010799474,False,True,False,False,0,1,0
804,4504,0,6,8,0,8.412943170042439,False,False,False,True,0,1,0
1041,10260,19,6,8,0,9.236105579862208,False,False,False,True,0,1,0
1162,8448,14,0,8,0,9.041803370152845,False,False,False,True,1,0,0
1065,9157,9,5,8,0,9.12238309321704,False,True,False,False,0,1,0
2515,12019,19,3,8,0,9.394327208089198,True,False,False,False,0,1,0
227,4506,17,4,8,0,8.413387022690648,False,False,True,False,0,1,0
2681,206937,1,2,8,1,12.240174510475146,False,False,False,True,0,1,0
157,4865,6,4,8,0,8.490027523343468,False,False,False,True,0,1,0
1239,10133,8,4,8,0,9.223651386035854,False,False,False,True,0,1,0
1626,7583,20,0,8,0,8.933796043934858,False,False,False,True,1,0,0
2507,11385,5,3,8,0,9.340139809511028,False,True,False,False,0,1,0
1592,266570,13,3,8,1,12.49339590361578,False,False,False,True,0,1,0
2867,12369,2,0,8,0,9.423029465386534,False,True,False,False,0,1,0
2781,1304,17,6,8,0,7.173958319756794,False,False,False,True,0,1,0
1007,11800,14,2,8,0,9.375939552625749,False,True,False,False,0,1,0
277,5110,12,2,8,0,8.53915035876828,False,True,False,False,0,1,0
1031,11240,10,5,8,0,9.327323087461798,False,True,False,False,0,1,0
2512,4666,1,5,8,0,8.448271745949816,False,False,True,False,0,1,1
87,218779,3,4,8,1,12.295821937673782,False,True,False,False,0,1,1
597,4658,21,5,8,0,8.446556111816797,True,False,False,False,0,1,0
1904,8185,2,5,8,0,9.010180657052349,False,False,True,False,0,1,0
596,11072,8,0,8,0,9.312264991698108,True,False,False,False,0,1,0
230,9171,15,5,8,0,9.123910643977796,False,True,False,False,0,1,0
2798,6687,4,5,8,0,8.808070154764538,False,False,False,True,0,1,0
718,7745,18,3,8,0,8.954931860074698,False,False,False,True,0,1,0
1939,5055,17,1,8,0,8.528330935826693,False,False,True,False,1,0,0
1282,6464,4,6,8,0,8.774158291205957,False,True,False,False,0,1,0
2842,3110,9,0,8,0,8.042699496897637,False,False,True,False,0,1,0
2596,13565,2,4,8,0,9.515321941506025,False,True,False,False,0,1,0
904,179407,2,1,8,1,12.097417820700661,False,True,False,False,0,1,1
117,17085,16,0,8,0,9.746014693711563,False,False,False,True,0,1,0
2514,7165,5,0,8,0,8.8771028978649,False,False,False,True,1,0,1
178,122854,10,3,8,1,11.718760077161802,False,True,False,False,0,1,1
1870,9926,7,1,8,0,9.203013596589722,False,True,False,False,0,1,0
2294,1945,6,0,8,0,7.57353126274595,False,False,False,True,0,1,0
1303,4396,0,5,8,0,8.388677769180811,False,False,True,False,0,1,1
2550,3345,11,4,8,0,8.11552088154677,True,False,False,False,0,1,0
2902,9555,2,0,8,0,9.1649245084457,False,False,False,True,0,1,0
261,48371,11,2,8,0,10.786676412905166,False,False,False,True,0,1,0
624,12421,19,2,8,0,9.427224373119248,False,False,False,True,1,0,0
2998,11163,12,3,8,0,9.320449594656212,False,False,False,True,0,1,0
884,7220,1,6,8,0,8.884748726451182,False,False,False,True,0,1,0
1402,8357,21,5,8,0,9.03097444300786,False,False,False,True,0,1,0
2603,88718,8,6,8,1,11.393229350545036,False,True,False,False,0,1,0
424,4523,5,3,8,0,8.41715183723601,False,False,False,True,0,1,0
836,4992,13,1,8,0,8.51579221050061,False,False,True,False,0,1,0
1821,6233,13,2,8,0,8.737773460327283,False,True,False,False,0,1,0
586,13359,14,0,8,0,9.500020447090638,False,False,False,True,0,1,0
626,9692,0,5,8,0,9.179159254492609,True,False,False,False,0,1,0
1808,35605,15,5,8,0,10.480269441964808,False,True,False,False,0,1,0
1975,7894,0,6,8,0,8.973984926689743,False,False,False,True,0,1,0
673,162880,8,6,8,1,12.000775151814643,False,False,False,True,0,1,1
1769,10300,14,5,8,0,9.239996256883693,True,False,False,False,0,1,0
1488,10270,7,1,8,0,9.237079669165805,False,False,False,True,0,1,0
2212,3863,3,6,8,0,8.259458195332408,True,False,False,False,1,0,0
585,109326,23,1,8,1,11.60209867019108,False,False,False,True,0,1,0
2590,11536,18,5,8,0,9.35331454092729,False,False,False,True,0,1,0
911,1740,11,3,8,0,7.462214939768189,False,False,False,True,1,0,0
255,18966,3,5,8,0,9.850455905984322,False,True,False,False,0,1,0
2800,14963,5,2,8,0,9.613402595468036,False,True,False,False,0,1,0
2988,23973,17,0,8,0,10.084725188767045,False,False,True,False,0,1,0
2317,14150,4,0,8,0,9.557540571952371,True,False,False,False,1,0,0
531,6294,17,5,8,0,8.747510946478448,False,False,False,True,0,1,0
1830,137036,13,2,8,1,11.828006241339818,False,False,False,True,0,1,0
1701,4949,14,2,8,0,8.507142855562735,False,True,False,False,0,1,0
2843,7873,23,2,8,0,8.971321471503682,True,False,False,False,0,1,0
2599,3425,7,3,8,0,8.139148678884066,False,False,False,True,0,1,0
140,8047,7,3,8,0,8.99317889233952,False,True,False,False,0,1,0
1727,7233,19,2,8,0,8.886547412512042,False,False,False,True,0,1,0
29,9272,11,5,8,0,9.134862230800225,False,True,False,False,0,1,1
497,7039,5,6,8,0,8.859363449152088,False,False,False,True,1,0,0
1940,88123,17,5,8,1,11.386500192532456,False,True,False,False,0,1,0
203,15349,8,6,8,0,9.638870753015343,True,False,False,False,0,1,0
2856,4296,4,1,8,0,8.365672383774996,False,False,False,True,1,0,0
2686,9258,3,6,8,0,9.133351330448047,False,False,True,False,0,1,0
29,7796,12,6,8,0,8.9614943233096,False,True,False,False,0,1,0
2839,11456,19,1,8,0,9.346356175893625,False,True,False,False,0,1,0
517,9051,22,0,8,0,9.110741006753427,False,False,True,False,1,0,0
2646,18791,7,1,8,0,9.841186526338749,False,False,False,True,1,0,0
887,22972,2,0,8,0,10.04207489229217,False,True,False,False,0,1,0
2640,6873,8,5,8,0,8.835501457409778,False,True,False,False,1,0,1
1557,133139,3,2,8,1,11.799156485154695,False,False,False,True,0,1,0
890,224490,23,3,8,1,12.321590896273998,False,False,True,False,0,1,0
664,2390,20,3,8,0,7.779466967458324,False,False,False,True,0,1,0
1051,12428,21,3,8,0,9.42778773074551,False,False,False,True,0,1,0
1068,42591,15,2,8,0,10.659421721194839,False,True,False,False,1,0,0
25,21223,18,1,8,0,9.962887895817575,True,False,False,False,0,1,0
1494,9944,0,5,8,0,9.204825191288073,False,True,False,False,0,1,0
2394,8595,6,2,8,0,9.059052257762401,False,True,False,False,0,1,0
556,7755,17,5,8,0,8.956222016362542,False,True,False,False,0,1,0
518,15951,7,5,8,0,9.67733949220162,False,True,False,False,1,0,0
479,5400,2,4,8,0,8.594339400592892,True,False,False,False,0,1,0
1525,25589,2,2,8,0,10.149956929153834,False,False,True,False,0,1,0
1815,3149,14,5,8,0,8.055157731819678,True,False,False,False,0,1,0
344,173678,2,1,8,1,12.06496404682026,False,True,False,False,0,1,0
1410,3480,17,6,8,0,8.15507488781144,False,False,False,True,0,1,0
1988,15333,13,4,8,0,9.63782786411884,False,True,False,False,1,0,0
1637,5922,14,3,8,0,8.686598356276965,False,False,True,False,0,1,0
1304,10837,7,2,8,0,9.29081375612606,False,True,False,False,0,1,0
2415,16261,19,6,8,0,9.696586376767783,False,False,False,True,0,1,0
2572,9592,7,4,8,0,9.168788944817948,False,False,False,True,0,1,0
2551,111361,2,2,8,1,11.620541435177087,False,True,False,False,0,1,1
1312,3559,7,0,8,0,8.177515823846075,False,True,False,False,0,1,0
1047,10006,3,2,8,0,9.211040127090456,False,False,True,False,0,1,0
409,4188,6,5,8,0,8.340217320947035,False,True,False,False,0,1,0
1377,20065,1,5,8,0,9.906782119485557,False,False,False,True,0,1,0
2759,7886,9,4,8,0,8.97297111339799,False,False,False,True,1,0,1
2117,4148,2,6,8,0,8.330622620332868,True,False,False,False,0,1,0
342,3125,9,0,8,0,8.047509510981422,False,True,False,False,0,1,0
1647,7825,6,3,8,0,8.965206802770357,False,False,True,False,0,1,0
1158,7234,20,4,8,0,8.886685639065584,False,False,True,False,0,1,0
1636,28969,0,2,8,0,10.274016090763396,False,False,False,True,0,1,0
401,227287,7,0,8,1,12.33397321478224,False,False,False,True,1,0,0
2218,6856,15,5,8,0,8.833025307284364,False,False,False,True,0,1,0
523,11450,9,5,8,0,9.34583234141334,False,False,False,True,0,1,0
728,112782,20,4,8,1,11.633220897468462,False,False,False,True,0,1,0
2589,10206,20,4,8,0,9.230829038403499,False,False,False,True,0,1,0
631,5544,13,2,8,0,8.620651899784468,False,False,False,True,1,0,0
2211,7277,6,5,8,0,8.892611378172106,False,True,False,False,0,1,1
2094,16359,14,4,8,0,9.702594610156739,False,True,False,False,0,1,0
127,4860,0,4,8,0,8.488999457045455,False,True,False,False,0,1,0
2001,5276,7,5,8,0,8.571113033405668,False,False,False,True,1,0,0
314,4830,7,1,8,0,8.482808764554406,False,False,False,True,0,1,0
648,5347,19,0,8,0,8.584477938221834,False,True,False,False,0,1,0
1037,8182,7,0,8,0,9.009814110527381,False,True,False,False,0,1,1
427,22502,4,3,8,0,10.021403912637746,False,False,False,True,0,1,0
299,3364,13,2,8,0,8.121183242078828,False,False,True,False,1,0,0
239,6342,16,0,8,0,8.755107121633896,True,False,False,False,0,1,0
791,268281,9,4,8,1,12.499793945083754,False,False,False,True,0,1,0
883,8268,4,4,8,0,9.020268861722167,False,False,False,True,0,1,0
1741,15191,10,6,8,0,9.628524252492122,True,False,False,False,0,1,0
507,15459,9,0,8,0,9.646011322141414,True,False,False,False,0,1,0
2772,166217,11,3,8,1,12.02105545878821,True,False,False,False,0,1,0
1683,15763,10,3,8,0,9.665484138314895,False,False,True,False,0,1,0
915,6024,21,5,8,0,8.703672758358856,False,True,False,False,0,1,0
730,9009,7,4,8,0,9.106090350602384,False,False,True,False,0,1,0
2196,112398,10,6,8,1,11.629810319604998,False,True,False,False,0,1,0
2583,264025,18,1,8,1,12.483802862127623,False,True,False,False,1,0,0
950,275051,21,5,8,1,12.524715449682366,False,False,True,False,0,1,0
2347,14814,10,5,8,0,9.603395460007665,False,True,False,False,0,1,0
1307,3884,22,4,8,0,8.264878262801748,False,False,True,False,0,1,0
2868,10162,17,2,8,0,9.226508953137767,False,True,False,False,0,1,0
2825,7696,11,3,8,0,8.948585921534317,False,False,True,False,0,1,0
2938,8369,20,1,8,0,9.032409163483521,False,True,False,False,0,1,0
589,4756,21,2,8,0,8.467372496432281,False,False,True,False,1,0,0
449,7753,21,5,8,0,8.955964118230874,False,False,False,True,0,1,0
1632,8019,14,5,8,0,8.98969370086056,False,True,False,False,0,1,0
1575,8135,0,6,8,0,9.004053937728395,False,True,False,False,0,1,1
299,11627,23,4,8,0,9.361171261678766,False,True,False,False,0,1,0
514,12743,14,4,8,0,9.452815851589884,False,False,False,True,0,1,0
1462,12384,14,6,8,0,9.42424134192346,False,False,True,False,0,1,0
1394,1776,5,0,8,0,7.482681828154651,False,True,False,False,0,1,0
1854,7302,7,2,8,0,8.89604050162011,True,False,False,False,0,1,0
223,10678,10,2,8,0,9.276034475171546,False,False,False,True,0,1,0
913,118658,20,5,8,1,11.68400911233738,True,False,False,False,1,0,0
1602,5449,21,6,8,0,8.60337088765729,False,False,False,True,1,0,0
2459,8318,4,4,8,0,9.026297334283887,False,True,False,False,0,1,0
2456,1486,14,3,8,0,7.304515946460155,False,False,False,True,0,1,0
2996,7864,19,4,8,0,8.970177815492379,False,False,False,True,0,1,1
2884,11702,21,0,8,0,9.367600498174767,False,False,False,True,0,1,0
1530,17097,6,3,8,0,9.74671677658618,False,False,True,False,0,1,0
1394,29944,11,1,8,0,10.307117644698563,False,False,False,True,0,1,0
366,218478,15,0,8,1,12.29444517905912,False,False,True,False,0,1,1
1901,121185,9,2,8,1,11.705081834394223,False,True,False,False,0,1,0
2287,12430,8,2,8,0,9.427948631791715,False,False,False,True,0,1,0
2655,5760,12,5,8,0,8.658866349732383,False,True,False,False,1,0,1
885,10266,13,3,8,0,9.236690147298965,False,False,True,False,0,1,0
2308,3612,17,1,8,0,8.19229373114764,False,False,False,True,0,1,0
992,68366,15,2,8,1,11.132645531050882,False,False,True,False,1,0,0
324,12405,14,0,8,0,9.425935505533063,True,False,False,False,0,1,0
446,5524,20,4,8,0,8.617038526385954,False,True,False,False,0,1,0
528,4144,0,4,8,0,8.329658067569396,False,False,True,False,0,1,0
2579,6108,11,2,8,0,8.717518372649767,False,True,False,False,0,1,1
1842,273966,5,6,8,1,12.52076294016077,False,True,False,False,0,1,0
2514,5215,4,3,8,0,8.559486103606488,False,False,False,True,0,1,0
1492,11241,12,4,8,0,9.32741204356202,False,False,False,True,0,1,0
2130,9406,5,1,8,0,9.149209371971951,False,True,False,False,0,1,0
2834,13070,10,2,8,0,9.478151314785551,False,True,False,False,1,0,1
823,5720,9,5,8,0,8.651898894268529,False,True,False,False,1,0,1
1153,5575,5,1,8,0,8.62622695244036,False,False,True,False,0,1,0
1720,4845,22,2,8,0,8.48590890137647,False,True,False,False,0,1,0
1083,5659,16,2,8,0,8.641179171197228,False,False,False,True,1,0,0
1092,85132,21,0,8,1,11.351970018478019,False,True,False,False,0,1,0
978,5815,22,2,8,0,8.668368019213355,False,True,False,False,1,0,0
1416,9587,12,0,8,0,9.168267595554275,True,False,False,False,1,0,0
1709,81474,16,0,8,1,11.308051503705762,False,False,False,True,1,0,1
71,6948,16,1,8,0,8.846353043314327,False,False,True,False,0,1,0
1356,2883,19,5,8,0,7.96693349840484,True,False,False,False,0,1,0
2238,21812,9,4,8,0,9.990261401318167,False,False,True,False,0,1,0
710,38455,5,0,8,0,10.557270009573797,False,False,False,True,0,1,0
1433,11281,11,2,8,0,9.330963814299922,False,False,True,False,0,1,0
188,4599,8,0,8,0,8.433811582477187,False,False,True,False,1,0,0
923,7794,1,0,8,0,8.961237781491876,False,True,False,False,0,1,0
649,4341,20,5,8,0,8.376090350438238,False,False,False,True,0,1,0
405,4471,23,0,8,0,8.405591014834934,True,False,False,False,0,1,0
1418,6900,16,5,8,0,8.839421607620602,False,False,False,True,0,1,0
677,10828,13,4,8,0,9.28998299962838,False,False,False,True,0,1,0
2363,13504,4,6,8,0,9.510815266226716,False,True,False,False,0,1,0
1917,3121,16,0,8,0,8.046229101075378,False,False,False,True,0,1,0
2348,7507,13,5,8,0,8.9237243977064,False,False,False,True,0,1,0
2351,15910,19,4,8,0,9.674765972907856,False,True,False,False,1,0,0
2485,2532,19,2,8,0,7.837159650001675,True,False,False,False,0,1,0
2955,245213,5,1,8,1,12.409886577662226,False,True,False,False,0,1,0
1781,2852,8,5,8,0,7.9561263512135,False,False,False,True,0,1,0
923,13060,21,6,8,0,9.47738596957752,True,False,False,False,1,0,1
2359,82204,7,3,8,1,11.316971406444978,False,False,False,True,0,1,0
2938,8979,16,4,8,0,9.102755161296246,False,True,False,False,1,0,0
669,3335,17,5,8,0,8.112527763478637,False,True,False,False,0,1,0
2799,16620,10,5,8,0,9.71842223507111,False,False,False,True,0,1,0
1644,2311,15,0,8,0,7.7458682297922685,False,False,True,False,0,1,0
1205,10229,12,4,8,0,9.233079858945672,False,True,False,False,1,0,1
936,8581,18,3,8,0,9.05742226555147,False,False,True,False,0,1,0
447,43553,2,5,8,0,10.681756826512895,False,False,False,True,0,1,0
2716,3315,4,3,8,0,8.106514516255185,False,True,False,False,0,1,0
2887,3801,18,0,8,0,8.243282523048375,False,False,True,False,0,1,0
558,6532,3,1,8,0,8.78462153484075,False,False,False,True,0,1,0
1764,42483,0,5,8,0,10.656882813441431,False,True,False,False,1,0,0
454,14558,16,3,8,0,9.585964638073326,False,True,False,False,0,1,0
112,9125,12,5,8,0,9.118882761487347,False,False,False,True,0,1,0
219,31541,20,0,8,0,10.359075270047503,False,True,False,False,1,0,1
922,3907,4,0,8,0,8.270781013162674,False,True,False,False,1,0,0
701,6074,13,3,8,0,8.711937268208748,False,True,False,False,1,0,1
2305,5184,6,6,8,0,8.553525120663627,False,False,False,True,0,1,0
2199,18699,20,2,8,0,9.836278802842678,False,False,False,True,1,0,0
1778,130025,14,0,8,1,11.775489709440386,False,True,False,False,0,1,0
2333,10160,17,6,8,0,9.22631214148588,False,True,False,False,0,1,0
290,243200,4,6,8,1,12.4016435409078,False,False,False,True,1,0,0
2162,6402,21,4,8,0,8.764521909518802,False,False,False,True,0,1,0
